Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Pedaladas totales,Swolf medio,Velocidad media de palada,Pasos,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Natación en piscina,2025-12-27 18:40:39,false,"Natación en piscina","2.125","467","01:05:43","--","--","--","--","--","1:45","0:42","--","--","--","--","0,0","--","--","--","739","35","20","--","--","No","00:00:02,2","3","--","--","--","00:37:19","01:05:48","--","--"
Carrera,2025-12-25 20:06:11,false,"Burgos Carrera","9,02","806","00:58:03","175","193","--","152","174","6:26","3:17","59","58","1,02","--","0,0","--","--","--","--","--","--","8.846","--","No","00:00:05,8","10","--","--","--","00:57:23","01:00:49","862","885"
Ciclismo en sala,2025-12-24 16:51:39,false,"Ciclismo en sala","0,00","554","01:00:12","159","189","--","--","--","--","--","--","--","--","181","54,8","179","154","441","--","--","--","--","11,0","No","01:00:12","1","24,0","--","--","00:00:00","01:00:12","742","744"
Ciclismo en sala,2025-12-23 09:17:41,false,"Ciclismo en sala","0,00","1.200","02:03:51","167","181","--","--","--","--","--","--","--","--","171","100,5","179","161","276","--","--","--","--","12,0","No","02:03:51","1","17,0","--","--","00:00:00","02:09:55","715","724"
Carrera,2025-12-20 12:50:12,false,"Madrid Carrera","8,01","642","00:47:55","--","--","--","153","178","5:59","4:02","100","108","1,09","--","0,0","--","--","--","--","--","--","7.364","--","No","00:00:04,8","9","--","--","--","00:46:34","00:50:56","631","685"
Ciclismo en sala,2025-12-19 20:10:58,false,"Ciclismo en sala","0,00","364","00:50:02","148","162","--","--","--","--","--","--","--","--","135","25,4","136","121","206","--","--","--","--","11,0","No","00:50:02","1","20,0","--","--","00:00:00","00:50:36","655","726"
Ciclismo en sala,2025-12-17 08:18:30,false,"Ciclismo en sala","0,00","184","00:30:02","131","154","--","--","--","--","--","--","--","--","121","12,1","112","102","191","--","--","--","--","13,0","No","00:30:02","1","15,0","--","--","00:00:00","00:30:02","638","643"
Ciclismo en sala,2025-12-15 07:41:18,false,"Ciclismo en sala","0,00","502","01:00:06","135","164","--","--","--","--","--","--","--","--","154","39,6","150","139","344","--","--","--","--","11,0","No","01:00:06","1","17,0","--","--","00:00:00","01:03:16","718","903"
Ciclismo en sala,2025-12-11 19:17:32,false,"Ciclismo en sala","0,00","257","00:36:02","--","--","--","--","--","--","--","--","--","--","128","16,3","123","119","189","--","--","--","--","17,0","No","00:36:02","1","19,0","--","--","00:00:00","00:36:04","632","634"
Ciclismo en sala,2025-12-11 18:16:22,false,"Ciclismo en sala","0,00","174","00:24:20","--","--","--","--","--","--","--","--","--","--","128","11,0","122","120","184","--","--","--","--","13,0","No","00:24:20","1","16,0","--","--","00:00:00","00:25:05","635","637"
